NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;Si;;;215.4447;141;5668.7956;3710;4.1706;38;0;18
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;No;166.281;0.959857;81.4706;6197;1079.2862;82095;7.8210;474;76;49
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;No;170.906;0.989108;80.7081;6139;1087.8184;82744;7.7111;479;81;54
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;--;;;0.0000;134;0.0000;925;8.1678;37;2;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;Si;;;140.5739;92;5534.3336;3622;3.3643;39;1;18
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;No;186.873;1.02549;90.9495;6918;1250.5363;95121;7.6462;493;79;58
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;--;;;0.0000;147;0.0000;1090;7.7715;40;3;0
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;Si;;;151.2697;99;7010.3596;4588;2.8463;40;1;18
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;--;;;0.0000;150;0.0000;1172;7.2174;38;3;0
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;Si;;;169.6054;111;7450.4171;4876;3.2098;42;1;24
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;No;185.818;1.02147;90.0818;6852;1242.6220;94519;7.4458;467;73;52
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;--;;;0.0000;142;0.0000;1193;6.5644;34;3;0
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;Si;;;230.7245;151;7172.3252;4694;3.7255;43;1;25
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;No;187.304;1.01359;89.8846;6837;1271.0322;96680;7.2125;469;76;47
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;No;187.823;1.00645;89.9109;6839;1288.8461;98035;7.1680;460;82;50
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;--;;;0.0000;143;0.0000;1272;6.7146;33;1;0
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;Si;;;239.8924;157;7186.0770;4703;3.8079;44;1;28
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;--;;;0.0000;131;0.0000;1142;6.8811;32;1;0
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;Si;;;235.3084;154;7305.2592;4781;3.5706;43;1;27
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;No;189.134;1.00037;90.0949;6853;1294.3152;98451;7.2744;453;80;50
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;--;;;0.0000;126;0.0000;1139;6.4458;27;2;0
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;Si;;;227.6686;149;7308.3152;4783;3.4360;38;1;26
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;No;189.247;0.99543;91.7646;6980;1303.3076;99135;7.2882;447;77;52
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;No;187.819;0.986826;92.0801;7004;1295.3932;98533;7.3012;444;76;46
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;--;;;0.0000;119;0.0000;1133;6.3006;26;2;0
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;Si;;;220.0287;144;7340.4027;4804;3.1847;34;0;28
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;Si;;;236.8364;155;7021.0555;4595;3.5994;35;0;29
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;No;190.12;0.99733;91.2782;6943;1297.1286;98665;7.1880;431;77;44
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;--;;;0.0000;128;0.0000;1159;5.9135;22;1;0
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;--;;;0.0000;130;0.0000;1159;5.8201;25;1;0
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;Si;;;236.8364;155;6634.4772;4342;3.6093;31;0;24
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;No;193.597;1.01173;91.8303;6985;1297.5230;98695;7.2796;461;78;47
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;No;199.556;1.03105;94.9067;7219;1332.4935;101355;7.3994;452;68;46
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;--;;;0.0000;139;0.0000;1158;6.5198;29;1;0
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;Si;;;238.3644;156;6988.9680;4574;3.9708;36;0;26
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;Si;;;264.3400;173;7095.9264;4644;4.3371;36;0;24
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;No;203.118;1.04498;96.7078;7356;1330.2059;101181;7.4237;456;60;40
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;--;;;0.0000;141;0.0000;1113;6.3245;27;1;0
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;--;;;0.0000;152;0.0000;1250;6.5200;28;3;0
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;Si;;;259.7561;170;7204.4127;4715;4.1657;35;0;31
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;No;204.767;1.05811;98.9690;7528;1350.5703;102730;7.3280;456;62;40
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;No;206.487;1.07159;98.3511;7481;1353.9622;102988;7.2834;451;60;42
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;--;;;0.0000;154;0.0000;1249;6.7700;32;3;0
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;Si;;;270.4519;177;7236.5003;4736;4.6898;35;1;30
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;No;211.625;1.10254;98.2460;7473;1370.4877;104245;7.1753;447;57;43
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;--;;;0.0000;158;0.0000;1236;6.7657;33;3;0
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;Si;;;291.8436;191;7442.7772;4871;4.5764;35;1;32
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;--;;;0.0000;160;0.0000;1173;7.2237;35;5;0
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;Si;;;299.4835;196;7455.0010;4879;4.4090;34;1;32
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;No;215.943;1.13248;99.3503;7557;1350.3600;102714;7.4029;465;66;36
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;No;217.239;1.15054;99.5212;7570;1297.1680;98668;7.7297;445;66;36
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;--;;;0.0000;156;0.0000;1149;7.3843;31;6;0
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;Si;;;299.4835;196;6981.3281;4569;4.6482;32;1;33
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;No;214.488;1.16037;98.6404;7503;1230.2508;93578;7.9605;473;72;40
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;--;;;0.0000;144;0.0000;1110;6.6298;28;6;0
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;Si;;;218.5007;143;6518.3510;4266;3.7218;28;2;31
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;--;;;0.0000;134;0.0000;1087;6.0207;27;7;0
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;Si;;;194.0531;127;6426.6723;4206;3.2843;30;3;31
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;No;212.176;1.16653;97.6675;7429;1189.7850;90500;8.1856;492;79;43
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;--;;;0.0000;128;0.0000;1059;6.3523;25;5;0
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;Si;;;181.8292;119;6066.0697;3970;3.2792;33;3;27
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;No;207.551;1.16648;94.5517;7192;1130.9136;86022;8.4532;492;79;41
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;No;206.194;1.16532;94.3414;7176;1126.9959;85724;8.4467;505;79;38
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;--;;;0.0000;123;0.0000;1056;6.2802;25;4;0
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;Si;;;177.2453;116;6095.1013;3989;2.7003;33;2;24
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;--;;;0.0000;118;0.0000;1047;5.9396;25;4;0
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;Si;;;160.4376;105;5852.1529;3830;2.8714;34;2;22
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;No;202.852;1.14959;93.6972;7127;1105.1985;84066;8.6622;518;79;39
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;--;;;0.0000;115;0.0000;1115;6.2500;26;2;0
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;Si;;;128.3500;84;5347.9204;3500;3.0796;34;2;26
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;No;194.568;1.12349;91.3307;6947;1067.4804;81197;8.7399;509;66;45
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;No;187.593;1.10759;89.2930;6792;1065.9422;81080;8.4495;505;66;43
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;--;;;0.0000;129;0.0000;1123;7.0128;27;2;0
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;Si;;;119.1822;78;5723.8028;3746;2.6062;40;3;24
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;Si;;;155.8536;102;6037.0381;3951;3.3080;44;2;25
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;No;182.309;1.0983;86.2035;6557;1056.1347;80334;8.3233;479;61;38
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;--;;;0.0000;132;0.0000;1086;7.7799;26;3;0
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;--;;;0.0000;136;0.0000;1070;8.8377;25;2;0
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;Si;;;204.7489;134;5867.4326;3840;4.3119;47;1;27
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;No;178.886;1.093;84.2183;6406;1039.1753;79044;8.2069;464;57;37
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;No;176.803;1.09123;83.3769;6342;1047.9968;79715;8.0817;453;56;43
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;--;;;0.0000;134;0.0000;1097;8.5286;23;2;0
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;Si;;;230.7245;151;5827.7052;3814;4.6943;45;1;25
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;Si;;;227.6686;149;5717.6909;3742;4.7559;46;2;29
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;No;175.205;1.09084;82.6013;6283;1044.4209;79443;8.0771;458;59;41
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;--;;;0.0000;133;0.0000;1092;8.5607;20;3;0
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;--;;;0.0000;132;0.0000;1103;8.7687;19;3;0
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;Si;;;227.6686;149;5960.6393;3901;4.6917;45;3;29
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;No;174.94;1.09322;82.7590;6295;1076.2756;81866;7.7949;459;59;37
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;No;173.031;1.08271;81.8519;6226;1075.5525;81811;7.6739;456;63;35
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;--;;;0.0000;124;0.0000;1000;8.9139;16;3;0
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;Si;;;314.7633;206;6029.3982;3946;5.9104;48;3;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;No;169.915;1.06611;80.0771;6091;1070.3726;81417;7.6504;468;74;37
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;--;;;0.0000;126;0.0000;1053;8.1871;17;3;0
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;Si;;;349.9067;229;5957.5833;3899;6.6305;44;2;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;--;;;0.0000;120;0.0000;1141;7.1685;18;3;0
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;Si;;;325.4591;213;5957.5833;3899;6.0321;43;3;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;No;168.112;1.05098;79.7879;6069;1056.8577;80389;7.7422;472;85;35
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;No;166.593;1.03451;79.4460;6043;1056.6211;80371;7.8077;459;86;36
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;--;;;0.0000;125;0.0000;1200;6.6610;23;5;0
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;Si;;;296.4275;194;5989.6708;3920;5.6604;37;3;23
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;No;164.998;1.0192;78.6441;5982;1028.9077;78263;7.8569;466;83;27
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;--;;;0.0000;132;0.0000;1190;6.4599;26;25;0
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;Si;;;282.6757;185;6079.8215;3979;5.5024;40;3;26
